,Champion,Tags,Key,Image,Lore,Ally Tips,Enemy Tips
Kalista,Kalista,['Marksman'],429,"{'full': 'Kalista.png', 'sprite': 'champion1.png', 'group': 'champion', 'x': 432, 'y': 48, 'w': 48, 'h': 48}","A specter of wrath and retribution, Kalista is the undying spirit of vengeance, an armored nightmare summoned from the Shadow Isles to hunt deceivers and traitors. The betrayed may cry out in blood to be avenged, but Kalista only answers those willing to pay with their very souls. Those who become the focus of Kalista's wrath should make their final peace, for any pact sealed with this grim hunter can only end with the cold, piercing fire of her soul-spears.","['Rend is a valuable last hitting aid, since its cooldown resets if it kills a target. ', ""Entering a move order once to trigger Martial Poise will not clear Kalista's basic attack target."", ""Due to her passive, Kalista's Movement Speed is effectively increased by Attack Speed.""]","[""Kalista's mobility is dependent upon attacking. This means it is low when she is outside of her attack range and that Attack Speed slows reduce the amount of distance she can cover in an engagement."", 'Kalista cannot cancel her basic attack wind up. While she is very mobile, this offers a window to land spells on her if you anticipate when she will begin attacking.', 'If you can break line of sight from Kalista, including through brush, her basic attacks will miss you, falling harmlessly to the ground.']"
Zac,Zac,"['Tank', 'Fighter']",154,"{'full': 'Zac.png', 'sprite': 'champion4.png', 'group': 'champion', 'x': 192, 'y': 96, 'w': 48, 'h': 48}","Zac is the product of a toxic spill that ran through a chemtech seam and pooled in an isolated cavern deep in Zaun's Sump. Despite such humble origins, Zac has grown from primordial ooze into a thinking being who dwells in the city's pipes, occasionally emerging to help those who cannot help themselves or to rebuild the broken infrastructure of Zaun.","['Picking up goo chunks is very important to staying alive.', 'When Cell Division is ready, try to die in a position that makes it difficult for the enemy team to kill your bloblets.', 'Charging Elastic Slingshot from the fog of war will give opponents less time to react.']","['Zac heals from the goo that separates from him. You can crush the goo pieces by stepping on them.', ""Kill all of Zac's bloblets when he splits apart to stop him from reforming."", 'Silences, stuns, roots and knockups will all interrupt Zac when he is charging Elastic Slingshot.']"
Nocturne,Nocturne,"['Assassin', 'Fighter']",56,"{'full': 'Nocturne.png', 'sprite': 'champion2.png', 'group': 'champion', 'x': 96, 'y': 96, 'w': 48, 'h': 48}","A demonic amalgamation drawn from the nightmares that haunt every sentient mind, the thing known as Nocturne has become a primordial force of pure evil. It is liquidly chaotic in aspect, a faceless shadow with cold eyes and armed with wicked-looking blades. After freeing itself from the spirit realm, Nocturne descended upon the waking world, to feed upon the kind of terror that can only thrive in true darkness.","['Using Paranoia at a critical moment is well worth it even if you cannot use the dash.', ""Duskbringer isn't only an offensive ability. It can be used to close distance out of combat or escape from certain death."", ""Use Shroud of Darkness in tandem with Paranoia's dash. Your opponents may panic and waste a critical disable on your spell shield.""]","['Stay close to your allies when Paranoia is cast - there is strength in numbers!', ""Nocturne's Unspeakable Horror is broken with range, so try to save your movement abilities for when he casts it.""]"
Janna,Janna,"['Support', 'Mage']",40,"{'full': 'Janna.png', 'sprite': 'champion1.png', 'group': 'champion', 'x': 96, 'y': 48, 'w': 48, 'h': 48}","Armed with the power of Runeterra's gales, Janna is a mysterious, elemental wind spirit who protects the dispossessed of Zaun. Some believe she was brought into existence by the pleas of Runeterra's sailors who prayed for fair winds as they navigated treacherous waters and braved rough tempests. Her favor and protection has since been called into the depths of Zaun, where Janna has become a beacon of hope to those in need. No one knows where or when she will appear, but more often than not, she's come to help.","['Eye of the Storm can be used on allied turrets.', 'Quickly firing a Howling Gale without the charge up can be used to heavily disable the other team.', ""Timing Janna's ultimate can push enemies away from a wounded ally or even separate enemies.""]","['Save an interrupt ability for when Janna uses her ultimate.', 'Listen for the charge up sound on Howling Gale in case Janna is trying to hit you with it from off screen or from brush.', ""Janna's at her strongest when buffing another ally. If you can harass her ally, it will weaken her ability to fight you.""]"
Darius,Darius,"['Fighter', 'Tank']",122,"{'full': 'Darius.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 0, 'y': 96, 'w': 48, 'h': 48}","There is no greater symbol of Noxian might than Darius, the nation's most feared and battle-hardened commander. Rising from humble origins to become the Hand of Noxus, he cleaves through the empire's enemies—many of them Noxians themselves. Knowing that he never doubts his cause is just, and never hesitates once his axe is raised, those who stand against the leader of the Trifarian Legion can expect no mercy.","['Decimate is a powerful harassment ability. Strike an enemy from maximum range for the greatest effect.', 'Noxian Guillotine does more damage the more attacks you can land prior to it. Use Noxian Might to deal maximum damage.', 'Darius benefits greatly from enhanced survivability. The longer you can prolong a fight, the more powerful he becomes.']","[""When Darius's axe grab is on cooldown, he is vulnerable to harassment attacks."", ""Darius's ability to escape from fights is limited. If you have an advantage against him, press your lead.""]"
Vladimir,Vladimir,['Mage'],8,"{'full': 'Vladimir.png', 'sprite': 'champion4.png', 'group': 'champion', 'x': 192, 'y': 48, 'w': 48, 'h': 48}","A fiend with a thirst for mortal blood, Vladimir has influenced the affairs of Noxus since the empire's earliest days. In addition to unnaturally extending his life, his mastery of hemomancy allows him to control the minds and bodies of others as easily as his own. In the flamboyant salons of the Noxian aristocracy, this has enabled him to build a fanatical cult of personality around himself—while in the lowest back alleys, it allows him to bleed his enemies dry.","['Transfusion instantly deals damage to the enemy before healing Vladimir, making it one of the best last hitting tools in the game.', 'Cast Hemoplague where it will afflict the most units.', 'Sanguine Pool pops incoming missiles, so it can be used to dodge disables.']","['Try to take Vladimir down before Hemoplague detonates, as it will heal him for each afflicted enemy Champion.', 'Making Vladimir use Sanguine Pool at the start of a fight will maximize the Health cost of the ability to him.', ""Items that counter Health stacking, such as Liandry's Torment and Blade of the Ruined King, are very effective against Vladimir.""]"
Pyke,Pyke,"['Support', 'Assassin']",555,"{'full': 'Pyke.png', 'sprite': 'champion2.png', 'group': 'champion', 'x': 432, 'y': 96, 'w': 48, 'h': 48}","A renowned harpooner from the slaughter docks of Bilgewater, Pyke should have met his death in the belly of a gigantic jaull-fish… and yet, he returned. Now, stalking the dank alleys and backways of his former hometown, he uses his new supernatural gifts to bring a swift and gruesome end to those who make their fortune by exploiting others—and a city that prides itself on hunting monsters now finds a monster hunting them.","[""Pyke is very fragile so don't be afraid to temporarily run from a fight. You can regenerate a significant amount of health from Gift of the Drowned Ones when enemies can't see you."", 'Hitting an enemy with the Hold version of Bone Skewer will always pull them the same distance. Use it in melee range to throw targets behind you.', 'The Tap version of Bone Skewer is much faster and deals additional damage.', 'A lot of your agressive spells are also your escapes. Make sure you always have a plan to get out of the fight.']","[""Pyke regenerates a significant amount of damage he has taken from enemy champions, but only when you can't see him!"", 'When Pyke is hidden nearby in his Ghostwater Dive, sharks will circle underneath your feet.', 'Try not to stand near low health allies. If Pyke executes them using Death From Below, you might be next on the list.']"
Brand,Brand,['Mage'],63,"{'full': 'Brand.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 144, 'y': 48, 'w': 48, 'h': 48}","Once a tribesman of the icy Freljord named Kegan Rodhe, the creature known as Brand is a lesson in the temptation of greater power. Seeking one of the legendary World Runes, Kegan betrayed his companions and seized it for himself—and, in an instant, the man was no more. His soul burned away, his body a vessel of living flame, Brand now roams Valoran in search of other Runes, swearing revenge for wrongs he could never possibly have suffered in a dozen mortal lifetimes.","['You can deter enemies from standing near their minions by setting them ablaze, due to Conflagration.', ""You can use Brand's abilities in a variety of combinations to maximize his damage in different situations."", 'Pyroclasm bounces randomly between enemies, so try to cast it on a small group of enemies if you want to hit the same target multiple times.']","['Brand must land an ability before his combo is able to get started. Dodging his Sear or Pillar of Flame will disrupt his rhythm.', 'Try to move away from allies when you see Pyroclasm being cast. The initial missile speed is slow, which should give your team time to react.', ""Brand's passive allows him to excel against teams that cluster together. Be sure to split up against him.""]"
Urgot,Urgot,"['Fighter', 'Tank']",6,"{'full': 'Urgot.png', 'sprite': 'champion4.png', 'group': 'champion', 'x': 336, 'y': 0, 'w': 48, 'h': 48}","Once a powerful Noxian headsman, Urgot was betrayed by the empire for which he had killed so many. Bound in iron chains, he was forced to learn the true meaning of strength in the Dredge—a prison mine deep beneath Zaun. Emerging in a disaster that spread chaos throughout the city, he now casts an imposing shadow over its criminal underworld. Raising his victims on the very chains that once enslaved him, he will purge his new home of the unworthy, making it a crucible of pain.","[""Pay attention to your individual leg's cooldowns, as they make for a signficiant portion of your damage"", ""Land Corrosive Charge or Disdain to lock on to target's with Purge - a great way to trigger multiple legs in rapid succession."", ""Save Fear Beyond Death for opponents you know are already too weak to survive. It's especially good for picking off fleeing foes.""]","['Urgot relies heavily on blasting opponents with his legs, which have their own cooldowns and only detonate when he attacks in the direction they are facing. Avoid getting hit by multiple.', 'Urgot can deal and absorb tremendous amounts of damage with Purge, but slows himself while firing.', 'If you are struck by Fear Beyond Death, do your best to avoid falling below the execution threshold (25% of your Maximum Health) until the effect times out.']"
Ahri,Ahri,"['Mage', 'Assassin']",103,"{'full': 'Ahri.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 48, 'y': 0, 'w': 48, 'h': 48}","Innately connected to the latent power of Runeterra, Ahri is a vastaya who can reshape magic into orbs of raw energy. She revels in toying with her prey by manipulating their emotions before devouring their life essence. Despite her predatory nature, Ahri retains a sense of empathy as she receives flashes of memory from each soul she consumes.","['Use Charm to set up your combos, it will make landing Orb of Deception and Fox-Fire dramatically easier.', 'Initiate team fights using Charm, and chase down stragglers with Spirit Rush.', ""Spirit Rush enables Ahri's abilities, it opens up paths for Charm, helps double hitting with Orb of Deception, and closes to make use of Fox-Fire.""]","[""Ahri's survivability is dramatically reduced when her Ultimate, Spirit Rush, is down."", ""Stay behind minions to make Charm difficult to land, this will reduce Ahri's damage potential significantly.""]"
Skarner,Skarner,"['Fighter', 'Tank']",72,"{'full': 'Skarner.png', 'sprite': 'champion3.png', 'group': 'champion', 'x': 432, 'y': 48, 'w': 48, 'h': 48}","Skarner is an immense crystalline scorpion from a hidden valley in Shurima. Part of the ancient Brackern race, Skarner and his kin are known for their great wisdom and deep connection to the land, as their souls are fused with powerful life crystals which hold the living thoughts and memories of their ancestors. In an age long past, the Brackern entered hibernation to avoid untold magical destruction, but recent, threatening events have roused Skarner. As the only Brackern awake, he strives to protect his kind from those who seek to harm them.","['Basic attacks reduce the cooldown of Crystal Slash. Use them as often as possible for maximum damage.', ""Capturing Crystal Spires before attempting neutral objectives or team fights around them improves Skarner's performance in said fights dramatically."", 'Impale is extremely powerful when you use it to position an enemy so your allies can attack them.']","[""Skarner can't harm you very much outside of short range, so stay away from him!"", ""Skarner's Movement Speed is increased as long as his shield, Crystalline Exoskeleton, persists. Attack him to lower his speed."", 'Skarner is especially dangerous when inside Crystal Spire zones his team controls. Try to capture them ahead of time if a fight may break out around them.']"
Leblanc,Leblanc,"['Assassin', 'Mage']",7,"{'full': 'Leblanc.png', 'sprite': 'champion2.png', 'group': 'champion', 'x': 48, 'y': 0, 'w': 48, 'h': 48}","Mysterious even to other members of the Black Rose cabal, LeBlanc is but one of many names for a pale woman who has manipulated people and events since the earliest days of Noxus. Using her magic to mirror herself, the sorceress can appear to anyone, anywhere, and even be in many places at once. Always plotting just out of sight, LeBlanc's true motives are as inscrutable as her shifting identity.","['Distortion allows you to be aggressive with your other spells while being able to return to safety.', 'Using Distortion can help your positioning to land Ethereal Chains.', 'You can chain Sigil of Malice and Ethereal Chains to prevent characters with blink from escaping for up to 4 seconds.']","[""LeBlanc's ultimate can create fake LeBlancs during her spellcast or, rarely, at a distant position. "", 'The fake LeBlanc created at a distance will always run at the nearest Champion, cast a harmless spell, then immediately disappear.', ""Attacking LeBlanc first avoids most of her tricks, especially if she's recently used her dash, Distortion."", 'Stunning or silencing LeBlanc will prevent her from activating the return part of Distortion.']"
Jinx,Jinx,['Marksman'],222,"{'full': 'Jinx.png', 'sprite': 'champion1.png', 'group': 'champion', 'x': 336, 'y': 48, 'w': 48, 'h': 48}","A manic and impulsive criminal from Zaun, Jinx lives to wreak havoc without care for the consequences. With an arsenal of deadly weapons, she unleashes the loudest blasts and brightest explosions to leave a trail of mayhem and panic in her wake. Jinx despises boredom, and gleefully brings her own chaotic brand of pandemonium wherever she goes.","[""Rockets aren't always the best choice! Jinx's minigun is incredibly powerful when fully ramped up. Switch to it whenever an enemy champion gets too close."", ""Jinx's rockets deal full damage to all enemies in the explosion. Use them on minions in lane to hit nearby enemy champions without drawing minion aggro."", 'When a fight starts try to stay on the edge of fray by poking with rockets and Zap!. Do not run in and unload with the minigun until you feel it is safe.']","[""Jinx's minigun takes time to ramp up. If you see her poking with rockets try to jump on her and burst her down."", ""Jinx's ultimate does less damage the closer you are to her."", ""Jinx's snare grenades have a long cooldown and are her primary means of protecting herself. If she misses with them she will have a hard time escaping if engaged upon. ""]"
Leona,Leona,"['Tank', 'Support']",89,"{'full': 'Leona.png', 'sprite': 'champion2.png', 'group': 'champion', 'x': 144, 'y': 0, 'w': 48, 'h': 48}","Imbued with the fire of the sun, Leona is a holy warrior of the Solari who defends Mount Targon with her Zenith Blade and the Shield of Daybreak. Her skin shimmers with starfire while her eyes burn with the power of the celestial Aspect within her. Armored in gold and bearing a terrible burden of ancient knowledge, Leona brings enlightenment to some, death to others.","['Lead the charge and mark your foes with Sunlight before your allies deal damage.', 'Shield of Daybreak and Zenith Blade form a powerful offensive combo.', 'You can absorb a huge amount of damage using Eclipse, but you must stay near enemies to gain the bonus duration.']","['When Leona activates Eclipse, you have three seconds to get away from her before she deals damage.', ""Only foes in the center of Solar Flare get stunned, so you can often avoid this if you're quick.""]"
Swain,Swain,"['Mage', 'Fighter']",50,"{'full': 'Swain.png', 'sprite': 'champion3.png', 'group': 'champion', 'x': 96, 'y': 96, 'w': 48, 'h': 48}","Jericho Swain is the visionary ruler of Noxus, an expansionist nation that reveres only strength. Though he was cast down and crippled in the Ionian wars, his left arm severed, he seized control of the empire with ruthless determination… and a new, demonic hand. Now, Swain commands from the front lines, marching against a coming darkness that only he can see—in glimpses gathered by shadowy ravens from the corpses all around him. In a swirl of sacrifice and secrets, the greatest secret of all is that the true enemy lies within.","[""If you're having trouble rooting an enemy with Nevermove, try throwing it at opponents when they are near their minions so the explosion surprises them."", ""While laning, try to use Death's Hand's piercing damage to damage opponents from a safe distance."", 'Vision of Empire is quite difficult to land on its own, look for skirmishes around the map where enemies may be distracted or crowd controlled so you can land it more easily.', ""Demonic Ascension may make Swain very hard to kill but he's pretty easy to get away from. Try building items that can slow opponents to keep them in range if their mobility is overwhelming.""]","[""Swain's passive is very potent if you are immobilized. Make sure to be extra careful around enemies who have immobilizing effects."", ""High mobility counters all of Swain's basic abilities: Death's Hand does more damage the closer he is, Vision of Empire has a very long delay and Nevermove must start returning back to him to be dangerous."", 'Buying an item with Grievous Wounds will make Swain much easier to kill during his Demonic Ascension.']"
Shen,Shen,['Tank'],98,"{'full': 'Shen.png', 'sprite': 'champion3.png', 'group': 'champion', 'x': 192, 'y': 48, 'w': 48, 'h': 48}","Among the secretive, Ionian warriors known as the Kinkou, Shen serves as their leader, the Eye of Twilight. He longs to remain free from the confusion of emotion, prejudice, and ego, and walks the unseen path of dispassionate judgment between the spirit realm and the physical world. Tasked with enforcing the equilibrium between them, Shen wields blades of steel and arcane energy against any who would threaten it.","['Keep an eye on allies and be ready to save them with your teleport.', 'Leverage your Energy to get a long-term advantage over Mana users.']","[""Be ready to dodge Shen's taunt and punish him if he misses."", 'Once Shen reaches level 6, watch out for his global-range ultimate, which can turn fights quickly.']"
Trundle,Trundle,"['Fighter', 'Tank']",48,"{'full': 'Trundle.png', 'sprite': 'champion4.png', 'group': 'champion', 'x': 96, 'y': 0, 'w': 48, 'h': 48}","Trundle is a hulking and devious troll with a particularly vicious streak, and there is nothing he cannot bludgeon into submission—not even the Freljord itself. Fiercely territorial, he chases down anyone foolish enough to enter his domain. Then, his massive club of True Ice at the ready, he chills his enemies to the bone and impales them with jagged, frozen pillars, laughing as they bleed out onto the tundra.","['Trundle excels at fighting within his Frozen Domain. Try to draw enemies onto it.', 'Use Subjugate to soften a powerful enemy tank or to create a target for your team to focus fire.', 'Chomp is good for lowering the physical damage of enemies; try to focus it on enemy physical damage dealers.']","['Trundle is very powerful at location-based combat. Try to draw him off of his Frozen Domain.', 'Make sure to get out of his Pillar of Ice as quickly as possible, as it significantly slows you down.']"
Karma,Karma,"['Mage', 'Support']",43,"{'full': 'Karma.png', 'sprite': 'champion1.png', 'group': 'champion', 'x': 0, 'y': 96, 'w': 48, 'h': 48}","No mortal exemplifies the spiritual traditions of Ionia more than Karma. She is the living embodiment of an ancient soul reincarnated countless times, carrying all her accumulated memories into each new life, and blessed with power that few can comprehend. She has done her best to guide her people in recent times of crisis, though she knows that peace and harmony may come only at a considerable cost—both to her, and to the land she holds most dear.","[""Gathering Fire rewards aggressive play. Look to land abilities and basic attacks on your opponent to lower Mantra's cooldown and stay on the offensive."", ""When using Focused Resolve, slow your opponents with Inner Flame or speed yourself up with Inspire if you're having trouble sticking to a target. "", ""Don't be too conservative with Mantra. Gathering Fire is strongest in teamfights, making it easy to recharge Mantra multiple times.""]","[""Karma's passive lowers her Mantra cooldown when she hits enemy champions with abilities and basic attacks. Deny her from getting free hits on you."", ""Karma's Soulflare erupts for bonus damage in the area in which it's placed. React quickly and escape the circle to avoid taking heavy damage."", 'Focused Resolve is a strong disengage tool. Create distance to avoid being rooted and seek to engage afterwards.']"
Camille,Camille,"['Fighter', 'Tank']",164,"{'full': 'Camille.png', 'sprite': 'champion0.png', 'group': 'champion', 'x': 288, 'y': 48, 'w': 48, 'h': 48}","Weaponized to operate outside the boundaries of the law, Camille is the Principal Intelligencer of Clan Ferros—an elegant and elite agent who ensures the Piltover machine and its Zaunite underbelly runs smoothly. Adaptable and precise, she views sloppy technique as an embarrassment that must be put to order. With a mind as sharp as the blades she bears, Camille's pursuit of superiority through hextech body augmentation has left many to wonder if she is now more machine than woman.","['Try waiting until the other team is distracted with fighting your team, and use Hookshot to pick off vulnerable targets.', 'Use the CC from your abilities to land both of your Precision Protocol attacks on enemies.']","[""Camille's shield only works against one damage type, so hit her when she's vulnerable to your damage."", 'The Hextech Ultimatum has a very short range to cast, so try to flash away from her before she gets close.']"
